latitude,City Name,City Number,Temperature,Humidity,Cloudiness,Wind Speed
67.55,Komsomolskiy,1486910,27.19,86,24,10.22
45.76,Arona,3182812,47.34,87,0,5.82
66.94,Sisimiut,3419842,16.3,100,0,3.96
55.31,Ubinskoye,1488708,38.8,81,20,9.22
-19.93,Mayor Pablo Lagerenza,3867427,70.12,74,0,4.74
54.32,Prince Rupert,6113406,51.8,37,1,4.7
20.89,Kahului,5847411,83.57,59,40,17.22
8.07,Ouadda,236901,66.52,97,44,6.53
-8.26,Conceicao do Araguaia,3401845,78.94,74,0,2.73
69.38,Leningradskiy,2123814,42.67,85,64,14.03
-34.85,Palmer,2067070,60.8,67,75,19.46
-3.71,Vila Velha,6320062,78.8,78,40,16.11
-18.9,Challapata,3921355,37.72,50,0,0.27
32.72,Seminole,5530452,76.55,54,1,9.17
9.52,Tubuala,3700393,80.6,88,40,3.36
13.6,Umm Kaddadah,364933,77.59,49,24,7.99
38.52,Ribeira Grande,3372707,70.12,100,80,6.08
64.86,College,5859699,61.03,7,1,4.7
40.77,Zhangjiakou,2033196,40.06,69,0,2.73
20.87,Celestun,3531368,84.25,96,32,20.07
25.52,Tura,1254046,70.39,98,64,5.3
43.95,Costinesti,680546,55.4,93,0,12.75
4.42,Tabou,2281120,79.12,99,64,9.1
-23.68,Porto Novo,6322184,71.6,78,20,4.7
30.69,Ginda,1253628,44.92,80,0,2.51
-20.21,Quatre Cocos,1106643,68.0,82,40,3.36
-5.2,Touros,3386213,76.15,89,48,12.8
66.32,Egvekinot,4031742,46.63,100,92,4.74
42.96,Korcula,3197710,50.0,87,40,3.36
63.75,Iqaluit,5983720,32.0,100,90,14.99
49.65,Veraval,3031871,59.59,93,90,10.29
-1.7,Palora,3653523,65.62,94,68,1.83
62.23,Klaksvik,2618795,39.2,80,20,2.24
22.63,Huejuquilla el Alto,4004616,69.4,59,8,1.95
70.62,Chokurdakh,2126123,33.94,100,80,5.86
24.06,Lukang,1679136,75.2,44,20,18.34
78.22,Longyearbyen,2729907,30.2,74,75,10.29
28.28,Gamba,1281256,17.47,62,24,2.28
-19.55,Isangel,2136825,73.18,100,32,16.82
55.1,La Ronge,6050066,33.8,47,20,3.36
-0.86,Sorong,1626542,78.22,100,20,10.0
9.45,Kyabe,2429344,74.8,76,0,2.84
-9.67,Maceio,3395981,71.6,88,20,4.7
12.18,Auki,2339937,74.89,82,0,8.32
7.99,Daru,2409663,73.36,98,68,3.06
59.64,Homer,5864145,52.5,73,90,15.48
35.03,Fukue,1848373,71.6,64,75,8.05
69.44,Tuktoyaktuk,6170031,23.0,100,90,9.17
53.05,Petropavlovsk-Kamchatskiy,2122104,53.6,74,0,20.13
68.75,Cherskiy,2126199,40.87,81,12,2.17
-26.98,San Patricio,3437029,65.35,92,44,5.41
-3.15,Sao Sebastiao,3397893,85.87,53,0,5.41
61.56,Tvoroyri,2611060,39.2,80,0,2.24
12.37,Ouagadougou,2357048,82.4,74,0,2.24
-7.94,Srandakan,1626493,75.34,81,48,3.62
55.75,Zheleznodorozhnyy,463355,47.61,87,75,6.71
8.96,Lebu,344979,47.26,80,0,5.41
11.67,Port Blair,1259385,84.52,100,12,3.4
3.07,Butaritari,2110227,84.61,100,0,4.18
-8.65,Denpasar,1645528,82.4,78,20,13.87
-14.2,Brumado,3468893,73.27,67,0,11.68
77.48,Qaanaaq,3831208,23.14,100,12,9.1
-34.0,Kruisfontein,986717,59.5,88,92,12.68
4.14,Meulaboh,1214488,77.95,100,32,3.96
65.95,Aykhal,2027296,33.31,94,92,6.98
14.53,Biltine,244878,73.0,37,0,6.64
-39.89,Otane,2185329,61.3,52,0,4.41
7.62,Mattru,2409215,75.34,99,92,3.06
46.7,Pungesti,669493,52.66,46,20,13.87
27.97,Guerrero Negro,4021858,72.19,100,20,4.63
67.8,Batagay-Alyta,2027042,5.77,52,12,2.73
31.34,Douglas,5293083,78.08,45,75,11.41
-30.17,Cidreira,3466165,61.21,100,92,12.01
-15.77,Kununurra,2068110,89.6,38,0,10.29
54.11,Ballina,2966778,55.09,98,92,13.69
38.42,Ishinomaki,2112576,68.0,68,75,1.12
-33.69,Chuy,3443061,51.13,83,68,6.08
27.93,Tezu,1254709,61.57,81,80,1.72
3.87,Inirida,3671450,82.63,77,12,3.74
16.86,Acapulco,3533462,84.2,79,75,8.05
-4.34,Kokopo,2093685,83.17,98,0,3.96
-24.32,Peruibe,3454061,73.45,98,92,6.31
18.49,Paungde,1300969,75.79,98,64,3.96
7.04,Kloulklubed,7671223,86.0,70,75,5.82
-23.65,Antofagasta,3899539,59.0,72,90,12.75
-46.28,Kaitangata,2208248,53.11,79,0,3.74
14.2,Kutum,371745,85.15,25,92,10.56
29.97,Suez,359796,69.85,85,0,3.96
17.97,Guanica,4565090,78.8,100,1,3.36
34.64,Lompoc,5367788,71.15,57,75,11.41
-0.19,Puerto Leguizamo,3671437,80.83,87,0,0.27
12.79,Bocana de Paiwas,3620661,74.17,97,88,2.73
47.36,Union,5810176,53.4,61,1,9.17
0.7,Kayunga,231696,62.83,100,80,3.96
-43.53,Christchurch,2192362,55.4,71,0,16.11
-1.4,Poso,1630723,78.94,100,0,4.18
48.94,Ucluelet,6171633,55.4,66,20,8.05
-7.95,Bambanglipuro,1650434,75.34,81,48,3.62
37.75,Dodge City,5445298,77.0,46,1,14.99
-21.48,Jardim,3460087,77.5,77,0,8.55
45.9,Bjelovar,3203982,37.4,93,20,1.12
68.31,Kangaatsiaq,3422683,32.77,100,0,9.55
56.05,Yurty,1485680,37.63,92,88,5.3
5.28,Victoria,1733782,78.58,94,75,3.36
61.68,Baykit,1510689,31.24,73,56,11.12
69.41,Dudinka,1507116,32.77,95,80,10.67
33.64,Hit,95788,74.08,39,24,3.18
39.36,Peniche,2264923,65.34,58,0,2.24
-3.36,Nabire,1634614,71.65,95,80,2.62
37.17,Oswego,4276800,78.31,77,1,5.82
63.84,Grindavik,3416888,37.13,80,20,4.7
53.82,The Pas,6164499,35.6,59,20,3.36
65.58,Lavrentiya,4031637,46.0,91,92,24.43
69.22,Ilulissat,3423146,26.6,45,0,10.29
17.48,Dong Hoi,1582886,78.13,100,100,11.56
-11.33,Mazamari,3935102,69.22,88,20,0.94
54.52,Terrace,6162949,50.0,23,75,6.93
54.13,Meadow Lake,6071421,35.6,47,40,6.93
51.71,Katangli,2122783,50.32,86,44,6.2
1.74,Sibolga,1213855,68.68,100,24,2.17
0.52,Eldoret,198629,55.4,82,0,4.7
64.73,Anadyr,2127202,48.2,100,90,24.61
60.91,Narsaq,3421719,35.6,47,76,6.93
72.79,Upernavik,3418910,31.87,100,12,8.88
-32.25,Dubbo,2168305,71.6,35,40,16.11
49.72,Geraldton,5960603,44.6,81,75,10.29
65.61,Tasiilaq,3424607,33.8,74,80,9.17
35.17,Nador,2541479,66.07,78,0,5.82
26.54,Freeport,3572375,83.44,94,32,17.27
9.67,Matagami,2335713,68.5,98,88,3.51
43.56,Saint-Joseph,3037456,54.0,62,0,4.7
28.54,Merritt Island,4164092,80.02,75,1,5.82
-1.57,Omboue,2396853,78.13,100,80,6.42
10.31,Miri,2347470,67.15,94,12,2.84
47.66,Torbay,6167817,37.4,86,75,8.99
12.49,Oussouye,2246901,77.0,94,20,4.7
5.33,Kuala Terengganu,1734705,80.6,88,75,4.7
14.76,Tecpan,3588476,69.8,73,75,13.87
-11.38,Mitsamiouli,921786,75.34,100,0,3.74
2.77,Isiro,215771,67.6,98,88,2.39
71.64,Tiksi,2015306,24.94,100,64,8.99
44.94,Chippewa Falls,5248511,53.46,83,90,6.93
-19.06,Alofi,4036284,80.6,61,75,18.34
36.92,Ramsar,9874,73.4,88,75,0.94
10.98,Orodara,2577164,75.2,78,0,4.7
-11.24,Nova Soure,3456115,74.53,76,76,10.45
5.38,Sinnamary,3380290,82.9,91,0,14.47
35.63,Houma,1784874,46.0,78,0,1.28
11.47,Qandala,53157,69.04,99,0,3.62
-13.71,Pisco,3932145,66.2,82,75,5.82
-0.92,Padang,1633419,81.1,100,32,4.29
35.24,Torbat-e Jam,1159362,46.54,75,36,3.18
40.56,Nurota,1513087,53.6,46,0,6.93
33.17,Sylacauga,4092671,75.25,100,1,2.62
52.04,Aksu,1524298,33.8,100,0,6.71
13.22,Bathsheba,3374083,82.72,99,92,13.24
-20.34,Bambous Virieux,1106677,68.0,82,40,3.36
53.91,Swinoujscie,3083955,50.0,76,75,17.22
-8.61,Ruteng,1629380,74.62,81,12,3.85
48.6,Zwettl,2760415,45.01,76,36,13.47
-15.23,Pontes e Lacerda,3453060,73.54,94,48,2.95
63.45,Verkhnevilyuysk,2013639,38.17,100,92,5.41
-25.17,Beloha,1067565,57.25,78,0,4.18
65.28,Norman Wells,6089245,41.0,44,40,5.82
47.83,Altay,1529651,33.85,98,92,3.29
25.27,Dubai,292223,80.4,74,0,5.82
-12.05,Maningrida,2067089,80.47,72,0,11.23
61.32,Ovre Ardal,3143034,21.43,76,20,2.06
62.16,Vestmanna,2610343,39.2,80,0,2.24
69.7,Pevek,2122090,43.93,92,8,12.01
45.63,Baijiantan,1529626,58.78,58,12,16.49
53.51,Ekhabi,2122614,49.87,69,76,12.68
18.5,Phonhong,1655124,75.2,88,75,2.24
39.75,Wilmington,4145381,72.79,78,1,8.05
56.1,Kingseat,2645298,44.67,81,0,2.24
15.74,Pochutla,3517970,84.2,70,75,10.89
68.54,Belaya Gora,2126785,32.77,97,92,9.66
14.9,Sao Filipe,3374210,78.94,96,0,13.47
65.11,Kozhva,543246,40.6,95,92,8.66
37.17,Sitka,4267710,82.99,41,0,17.72
64.42,Provideniya,4031574,51.8,87,90,20.13
16.52,Shorapur,1256431,71.2,95,48,2.84
-6.97,Cabedelo,3404558,75.2,88,40,4.7
-5.67,Tual,1623197,80.65,97,12,12.12
21.46,Cockburn Town,3576994,83.08,100,56,8.77
-34.23,Caledon,3369179,50.14,86,56,6.2
-20.01,Bowen,2174444,78.8,41,40,18.34
10.24,Esperance,3573739,78.8,88,20,5.75
67.47,Igarka,1505991,33.13,96,56,17.38
22.57,Sur,286245,82.54,96,0,4.41
-25.24,Yulara,6355222,71.6,56,40,14.99
36.19,Springdale,4132093,74.59,73,1,4.7
45.93,Dalnerechensk,2025159,52.84,62,0,5.97
61.02,Voznesenye,471160,44.29,100,68,6.42
-8.63,Maumere,1635815,81.1,100,0,3.96
37.46,Half Moon Bay,5354943,71.73,68,75,10.29
-3.02,Mushie,2312249,73.99,93,0,2.39
33.72,Shingu,1847947,73.4,56,40,3.36
27.03,Sabha,2212775,82.0,34,48,11.12
62.92,Medvezhyegorsk,527888,38.71,97,36,7.76
69.65,Tromso,3133895,37.4,69,75,12.75
30.95,Zaranj,1120985,71.6,24,0,13.87
22.89,Cabo San Lucas,3985710,81.55,83,75,4.7
-35.1,Kaeo,2189343,63.64,75,24,6.53
12.78,Klaeng,1609610,78.31,100,64,7.65
-4.88,Carauari,3664659,82.9,81,24,3.62
-16.38,La Libertad,3947322,60.8,21,0,3.36
68.06,Bilibino,2126682,29.89,93,44,2.95
69.01,Kautokeino,779330,18.28,80,0,3.18
30.3,Harper,4696310,77.74,78,1,10.67
-14.8,Kaoma,913323,63.1,38,0,12.01
20.93,Nouadhibou,2377457,75.2,64,48,10.29
40.46,Macomb,4900817,64.35,93,1,3.36
5.69,Baoro,2389804,67.24,96,36,3.29
35.17,Tucumcari,5495360,80.96,45,1,16.11
64.17,Nuuk,3421319,37.4,74,80,16.11
-7.71,Pauini,3662927,74.71,95,24,3.18
51.52,Adamovka,584279,31.6,69,12,6.08
37.12,Chowchilla,5336667,84.6,31,1,4.7
51.26,Moose Factory,6078372,48.2,76,90,6.93
36.17,Damghan,138025,62.65,54,88,3.96
8.0,Marawi,1701054,71.83,98,76,3.06
-21.55,Tadine,2138285,72.19,95,0,17.49
18.74,Arlit,2447513,81.64,28,80,3.62
26.33,Buraydah,107304,71.6,33,0,3.36
48.65,Bonavista,5905393,43.84,100,0,9.44
-0.13,Sao Gabriel da Cachoeira,3662342,75.7,94,56,2.39
36.36,Constantine,2501152,50.0,100,75,11.41
22.81,Sagua la Grande,3541440,77.0,83,20,5.82
-28.95,Codrington,2160063,67.6,76,0,2.73
31.8,Gizo,6693679,78.8,78,20,4.7
57.31,Teguldet,1489822,31.42,89,68,3.96
18.39,Udgir,1253958,71.65,97,56,2.62
11.67,Manga,2358100,76.87,76,8,6.64
-8.99,Curaca,3401331,81.73,44,0,12.01
68.71,Aasiaat,3424901,34.3,100,0,9.44
51.29,Niesky,2862460,48.7,88,92,17.83
18.69,Bilma,2446796,85.6,22,44,8.66
-17.73,Caravelas,3466980,77.59,100,0,19.51
-20.74,Karratha,6620339,75.7,44,0,11.12
34.07,Ontario,5379439,73.02,46,75,11.41
40.67,Ayan,749747,40.69,90,0,2.39
52.35,Provost,6113828,35.47,71,88,4.97
18.22,The Valley,3573374,82.4,78,20,1.83
5.02,Zemio,235826,67.51,97,88,5.97
48.78,Terrace Bay,6162951,46.54,100,56,12.8
47.55,Ambon,3037899,60.8,87,90,3.36
40.29,Yumen,1528998,36.19,62,0,8.21
-6.05,Kabalo,215668,75.88,70,68,7.54
4.68,Nanga Eboko,2225457,68.59,96,20,5.86
55.52,Tashara,1490054,37.0,92,80,6.76
17.08,Dicabisagan,1715015,76.24,100,0,7.76
-12.18,Ibotirama,3461525,79.93,35,0,10.22
11.01,Kaduqli,373141,69.94,94,0,2.62
-18.06,Opuwo,3354077,70.75,26,0,6.76
64.25,Hofn,2630299,40.87,100,80,9.89
20.2,Tessalit,2449893,77.23,37,44,2.73
5.56,Banda Aceh,1215502,73.72,100,20,1.95
60.14,Nanortalik,3421765,34.39,100,88,4.74
43.11,Kushiro,2129072,62.6,67,20,5.82
55.75,Usvyaty,477774,45.46,83,36,11.01
-18.59,Conceicao da Barra,3465769,77.23,88,20,14.7
21.35,Makakilo City,5850554,84.56,65,1,8.05
-17.17,Tucuman,3934608,57.7,64,0,0.16
21.39,Kailua,5847486,84.56,71,1,8.05
49.42,Kapuskasing,5989403,42.8,81,5,5.82
33.56,Aiken,4569067,75.56,88,1,5.3
9.49,Bandarbeyla,64814,76.42,97,56,16.26
27.91,Aguimes,2522325,73.4,78,20,10.29
36.41,Dawlatabad,1142226,56.35,49,24,8.43
38.81,Borba,2270755,55.27,48,8,5.41
-2.03,Olinda,3650121,73.4,78,40,14.99
53.01,Krasnaya Gora,542788,50.0,93,75,8.95
-28.58,Vallenar,3868633,56.89,73,0,2.06
44.37,Pierre,5767918,66.02,72,1,13.87
11.04,Am Timan,245338,76.06,74,48,3.62
41.76,Soria,3108681,38.26,69,0,3.18
33.21,Tuscaloosa,4094455,78.08,79,1,2.28
-15.19,Namibe,3347019,67.15,99,12,3.18
-36.24,Cooma,2170577,62.29,62,44,11.01
32.3,Hamilton,3573197,78.8,69,75,20.8
-35.36,Ulladulla,2145554,75.2,36,75,21.92
30.89,Ramshir,118805,80.6,78,0,2.95
49.63,Veshenskaya,473998,54.01,91,12,5.97
65.8,Turukhansk,1488903,33.4,94,92,17.72
15.78,Tela,3600931,75.2,94,75,4.7
-19.11,Chimoio,1049261,62.6,100,0,4.7
10.15,Nicoya,3622716,75.2,100,75,3.36
-0.72,Port-Gentil,2396518,77.68,100,92,3.96
13.78,Gigmoto,1712961,81.64,100,20,10.78
46.95,Feldbach,2779685,40.08,86,40,2.24
40.33,Basco,4863349,66.34,93,1,5.82
-6.53,Canutama,3664716,83.44,76,12,4.85
-41.43,Launceston,2160517,60.8,67,75,10.29
36.24,Kennett,4393451,78.06,69,1,4.41
10.91,Merida,1699827,81.55,93,56,6.42
-45.87,Dunedin,2191562,51.31,83,0,2.73
36.67,Salinas,5391295,69.17,72,1,18.34
-15.95,Jaciara,3460355,72.82,93,68,3.62
-16.1,Senanga,898947,61.3,41,0,8.32
33.37,Muroto,1856392,69.8,64,20,9.17
42.77,Muros,3115824,55.4,76,0,5.82
15.86,Puerto Escondido,3520994,84.2,70,75,9.44
33.6,Tabas,113659,52.48,40,0,3.96
50.56,Husavik,5961417,40.42,100,92,9.33
4.8,Manuk Mangkaw,1701394,84.52,98,0,4.29
-20.3,Morondava,1058381,69.94,100,0,5.75
35.1,Ayia Galini,264260,66.2,88,20,10.29
5.26,Mumford,2297810,76.06,94,68,8.1
-2.57,Kavieng,2094342,84.79,100,88,2.95
-16.65,Joaima,3459867,74.35,61,0,10.78
7.42,Kalmunai,1242110,72.82,100,36,2.95
-22.12,Henties Bay,3356832,60.04,87,12,4.41
61.99,Raudeberg,3146487,42.8,93,88,4.7
18.93,Sompeta,1255816,73.99,90,0,2.84
40.79,State College,5213681,65.62,100,90,8.05
37.57,Seoul,1835848,63.36,59,0,2.24
64.84,Fairbanks,5861897,61.03,7,1,4.7
-3.7,Pimentel,3389609,83.98,61,0,6.64
-33.3,San Luis,3837056,57.25,39,0,7.2
-34.04,Pondicherry,3369157,55.4,58,0,18.34
-11.81,Conde,3465713,75.61,93,92,9.1
44.82,Calinesti,682958,50.41,90,12,3.74
12.18,San Policarpo,1688696,75.52,100,92,6.31
0.61,Muisne,3653967,76.24,76,8,6.98
21.39,Nanakuli,5851349,84.56,67,1,6.93
58.38,Galich,562161,45.19,96,92,10.33
-33.01,Russell,3844421,64.4,52,0,3.36
38.52,Jinchang,1805733,32.95,64,0,4.18
10.18,Caramay,1718517,82.09,100,0,4.74
6.75,Robertsport,2274275,78.04,100,88,7.99
5.36,La Palma,3687505,69.85,96,68,2.17
-27.77,Vryheid,942470,56.98,69,68,6.2
65.73,Zyryanka,2119283,34.48,78,8,3.29
25.33,Mangrol,1263751,68.77,76,0,2.95
37.04,Liberal,5445820,79.75,46,1,17.22
-22.95,Walvis Bay,3359638,57.2,71,20,4.7
53.41,Liverpool,2644210,53.46,87,75,10.29
-1.82,Cururupu,3401148,79.12,79,0,8.21
36.72,Kilis,307864,53.6,66,0,1.12
-5.83,Matadi,2313002,74.89,88,44,4.52
50.14,Aleksandrov Gay,583345,46.63,44,36,9.66
40.13,Gazli,1513990,63.82,38,0,12.8
42.43,Khasan,2039557,60.13,99,0,7.65
39.09,Crotone,2524881,72.01,100,80,7.65
39.62,Vardo,4372777,73.36,76,40,5.82
-21.61,Maracaju,3457859,80.65,66,12,6.53
11.75,Gaoual,2420826,69.85,98,32,2.73
25.39,Yanggu,1921672,63.91,59,0,2.84
32.81,Mineral Wells,4711647,80.42,69,1,10.29
-9.54,Malanje,2239862,64.27,94,0,2.73
18.62,Coahuayana,3981460,83.17,46,8,2.17
46.82,Seeboden,2765286,42.8,87,75,2.24
-20.01,Grand Gaube,934479,68.0,82,40,3.36
69.47,Karasjok,779350,35.6,69,48,20.8
31.32,Puerto Penasco,3991347,81.73,100,12,11.68
-13.74,Matara,3948642,49.69,54,0,1.95
-45.58,Coihaique,3894426,41.41,56,75,3.36
21.25,Zacualpan,3979819,79.27,78,75,5.82
12.25,Trat,1605279,77.0,94,75,3.36
2.02,Kapit,1737185,75.97,95,92,2.73
68.05,Ostrovnoy,556268,24.22,78,64,5.86
6.12,Hambantota,1244926,77.41,100,48,6.64
2.62,Wanlaweyn,50672,72.28,88,36,5.97
53.28,Mtsensk,524640,44.11,99,92,8.21
-8.9,Sao Jose da Coroa Grande,3388456,72.01,95,64,5.97
-30.72,Colesberg,1013076,48.52,54,0,13.02
33.08,Camacha,2270385,70.03,82,40,3.36
-34.58,Flinders,6255012,75.2,36,75,21.92
18.22,Abha,110690,62.73,38,0,4.7
-10.62,Samarai,2132606,77.77,100,56,19.73
5.67,Ugoofaaru,1337619,76.6,100,92,16.04
40.61,Kars,743952,46.65,93,0,3.36
44.83,Saint-Augustin,3031582,51.42,87,90,4.97
-8.13,Ifakara,159492,65.53,99,32,2.28
-16.5,El Alto,3911925,46.4,49,75,6.93
9.33,Santa Catalina,1688363,84.2,79,40,4.7
-40.81,Viedma,3832899,46.27,42,0,6.31
-0.39,San Cristobal,3652462,53.6,81,40,4.7
36.21,Pahrump,5509851,81.97,47,1,12.75
49.78,Chapais,5919850,39.2,80,75,3.36
37.35,Kaka,161901,49.87,80,0,2.84
-3.38,Sao Paulo de Olivenca,3662252,81.28,79,48,3.4
56.76,Sovetskiy,490040,47.53,97,92,14.25
33.64,Ilam,130802,66.2,32,0,4.7
-32.03,Rio Grande,3451138,57.25,95,44,10.11
51.89,Mahon,2965139,51.8,100,75,6.93
10.99,Puerto Colombia,3671497,73.4,94,75,11.41
30.04,Nome,4732862,77.95,84,1,4.41
48.23,Minot,5690532,55.15,77,1,9.17
33.3,Baghdad,98182,75.2,41,0,4.7
15.12,Quang Ngai,1568770,70.93,99,92,3.4
13.21,Ati,2436400,77.05,62,0,6.76
40.76,Andijan,1484846,59.0,44,0,9.17
0.19,Kango,2400682,71.47,98,80,1.16
59.29,Budogoshch,571252,44.38,99,88,3.18
43.97,Saint Anthony,5606187,68.02,4,90,13.87
43.52,Naron,3115739,51.8,81,0,4.7
10.68,Bacolod,1729564,78.76,95,44,2.39
71.03,Mehamn,778707,38.08,86,92,12.8
-25.41,Taltal,3870243,59.95,85,8,2.84
41.76,Brewster,4931273,67.05,93,75,5.82
49.99,Tsybli,691052,50.0,100,75,3.4
9.31,Garoua,2231320,77.0,88,20,6.93
18.81,San Juan de la Maguana,3493081,71.65,88,76,2.39
-9.43,Honiara,2108502,87.8,74,20,4.7
67.55,Verkhoyansk,2013465,20.26,87,0,2.06
24.8,Hirara,1862505,77.94,73,75,18.34
